platform,source_category,Category,normalized_Brand,product_family,Product Name,product_title,Price (USD),Price (USD),price_valid,raw_condition,normalized_condition,raw_sku,Normalized SKU,Total Items Sold (Product),Location of Product,Seller Name,Product URL,Positive Review Percentage % (seller),Number of Reviews (seller),demo_priority_flag,demo_priority_score,demo_eligible,Brand,Product Name,Condition,Location
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Zapatillas para hombre Jordan Max Aura 2 gris/rojo/blanco - tallas Asst NWB CK6636-004,Zapatillas para hombre Jordan Max Aura 2 gris/rojo/blanco - tallas Asst NWB CK6636-004,75,75,True,Nuevo en caja,New,CK6636-004,CK6636-004,,,ilianawzmanuel,https://www.ebay.com/itm/286175941013,99.7,38648,0,0,False,Jordan,Zapatillas Para Hombre Jordan Max Aura 2 Gris/Rojo/Blanco - Tallas Asst Nwb Ck6636-004,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,"Zapatillas Air Jordan Max Aura 2 Cool Gris, Talla 11 Nuevas en Caja CK6636-012","Zapatillas Air Jordan Max Aura 2 Cool Gris, Talla 11 Nuevas en Caja CK6636-012",94.99,94.99,True,Nuevo en caja,New,CK6636-012,CK6636-012,,,sneakermarket,https://www.ebay.com/itm/267489541119,99.8,10444,0,0,False,Jordan,"Zapatillas Air Jordan Max Aura 2 Cool Gris, Talla 11 Nuevas En Caja Ck6636-012",New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Men's Jordan Flight Court Cool Grey/Varsity Red (HF3255 007),Men's Jordan Flight Court Cool Grey/Varsity Red (HF3255 007),115.45,115.45,True,New with box,New,HF3255,HF3255,1,Chicago,The Spot Chicago,https://www.ebay.com/itm/127494394691,99.7,42346,0,0.004,False,Jordan,Men'S Jordan Flight Court Cool Grey/Varsity Red (Hf3255 007),New / Unworn,Chicago
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Max Aura 4 Shoes White Black University Red DN3687-106 Men's Sizes,Air Jordan Max Aura 4 Shoes White Black University Red DN3687-106 Men's Sizes,129.99,129.99,True,New with box,New,DN3687-106,DN3687-106,5,Atlanta,LeeBrielle,https://www.ebay.com/itm/195560501036,100,1471,0,0.02,False,Jordan,Air Jordan Max Aura 4 Shoes White Black University Red Dn3687-106 Men'S Sizes,New / Unworn,Atlanta
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Golf Shoes Men's 8 ADG 3 Black Gray Athletic Low Sneakers CW7242-001,Air Jordan Golf Shoes Men's 8 ADG 3 Black Gray Athletic Low Sneakers CW7242-001,64.95,64.95,True,Pre-owned - Excellent,Used - Excellent,CW7242-001,CW7242-001,,Flagstaff,smile4free,https://www.ebay.com/itm/406584479029,100,484,0,0,False,Jordan,Air Jordan Golf Shoes Men'S 8 Adg 3 Black Gray Athletic Low Sneakers Cw7242-001,Very Good / Like New,Flagstaff
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Nu Retro 1 Low White Red Black Cement 2007 Size 10 Brand New 317163-161,Jordan Nu Retro 1 Low White Red Black Cement 2007 Size 10 Brand New 317163-161,159.99,159.99,True,New with defects,New - Defect,317163-161,317163-161,,Morristown,SoleExplosion,https://www.ebay.com/itm/326925661930,100,2641,0,0,False,Jordan,Jordan Nu Retro 1 Low White Red Black Cement 2007 Size 10 Brand New 317163-161,Used / Visible Wear,Morristown
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,[DD9315-006] Mens Air Jordan RETRO 1 LOW GOLF 'WOLF GREY GUM',[DD9315-006] Mens Air Jordan RETRO 1 LOW GOLF 'WOLF GREY GUM',139.99,139.99,True,New with box,New,DD9315-006,DD9315-006,12,Jersey City,sneakAR,https://www.ebay.com/itm/297379518270,99.8,209752,0,0.048,False,Jordan,[Dd9315-006] Mens Air Jordan Retro 1 Low Golf 'Wolf Grey Gum',New / Unworn,Jersey City
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Shoes Mens 10.5 New School Basketball Sneaker Gray Lace Up 469955-007,Air Jordan Shoes Mens 10.5 New School Basketball Sneaker Gray Lace Up 469955-007,43.19,43.19,True,Pre-owned - Good,Used - Good,469955-007,469955-007,,Circle Pines,Lex Get It,https://www.ebay.com/itm/197428811842,99.2,71157,0,0,False,Jordan,Air Jordan Shoes Mens 10.5 New School Basketball Sneaker Gray Lace Up 469955-007,Good / Lightly Used,Circle Pines
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordans 440892-100 Light Aqua,Jordans 440892-100 Light Aqua,120,120,True,Pre-owned - Excellent,Used - Excellent,440892-100,440892-100,,Tobaccoville,WeFoundStuff,https://www.ebay.com/itm/227025097943,99.4,1213,0,0,False,Jordan,Jordans 440892-100 Light Aqua,Very Good / Like New,Tobaccoville
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,"JORDAN Air Jordan XXXVII Low 'Military Blue/White' DV9909-401 US M8.0/W9.5, New","JORDAN Air Jordan XXXVII Low 'Military Blue/White' DV9909-401 US M8.0/W9.5, New",149.95,149.95,True,New with box,New,DV9909-401,DV9909-401,,Bunnell,mosports5,https://www.ebay.com/itm/147026997536,99.7,448,0,0,False,Jordan,"Jordan Air Jordan Xxxvii Low 'Military Blue/White' Dv9909-401 Us M8.0/W9.5, New",New / Unworn,Bunnell
