platform,source_category,normalized_category,normalized_Brand,product_family,Product Name,product_title,Price (USD),clean_price_usd,price_valid,raw_condition,normalized_condition,Item model number,raw_sku,normalized_sku,Number of Ratings,Customer Rating,Seller,product url,ASIN,Selected Size,Department,demo_priority_flag,demo_priority_score,demo_eligible
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Air Jordan 1 Mid Light Smoke Grey Grey - 45,Air Jordan 1 Mid Light Smoke Grey Grey - 45,,,False,New,New,5220_19368,5220_19368,5220-19368,,4.6,Backwoods Sneakers LLC.,https://www.amazon.com/Jordan-Mens-Light-Smoke-554724/dp/B08RSHL4HZ/ref=sr_1_192?dib=eyJ2IjoiMSJ9.KUWafgyVIL0EhPh7kdJYbvKtvjD9yghxE-HkGVNs-XbTfWBzFB5WixTXQhbLmCyAJ4TfFOMc4vlk7vvu1xT4wdQ8tRhKPmlqDqPhEvFqUM_-Dv9oivvAJVw-Kck5w7EDJu_nifoCn3Se3U-a3o5VUmpsRtzQ7TJJbkE5rLNjv9wfQGXmpZUkDYa3WCYkLN8jRS-u9OTFLRb4i55ZGNgSyGmtD8nbc8VmDbNhFuLmrzdnGxHo1a__Gv-iefDclJrirw7sOJDg_HOn8cm_5vpze1znDJKiUl8LMS22rfCWE64.AeCxZon4OykafkufzKWDSfqKS90ydWNmwFOZ8pf804Y&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597710&sr=8-192&xpid=9wbIeO2E2wuAq,B08RSHL4HZ,,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,"AIR JORDAN 1 LOW ""BLACK/SUMMIT WHITE""","AIR JORDAN 1 LOW ""BLACK/SUMMIT WHITE""",,,False,New,New,553558-043,553558-043,553558-043,,4.9,4thOctober,https://www.amazon.com/AIR-JORDAN-BLACK-SUMMIT-WHITE/dp/B0DRWD7HMH/ref=sr_1_73?dib=eyJ2IjoiMSJ9.3ed7CcYMbPvp8xQjyAkq5Yx-evV1bvNLpEYHhKvi2_Xr0CX8Bh_YFsnBvpwqaw7PWcH7cO2OIBpU3VSSRZbfYoEJnMX8lxFt7DkVcOE3Pr1XQxrwTeU_pE2e6jFgNZ7QOlO4vD8jTNpmxTftsi396R6vFXBshvkCJI-HSYQJq3G7-xu-AryEV6rsCRLp4KSVjJ55vOoCEVtZPDHvk7JRwOcRUULEVlXdBhf-3-UgRhi3u-vm8lhJw9brO8HbDvXIS1wfPt_gOEVPPSbSWWk0h7WvQULL4mAhv3SU7raoMT8.HGVcWZvkPdW4RxeOtyE3NIRmHxi5EZUrVLakHsOS2j8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597651&sr=8-73&xpid=kIvhNRvamyHg3,B0DRWD7HMH,,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,"Air Jordan 1 Low Men's Shoes (553558-043, Black/Summit White)","Air Jordan 1 Low Men's Shoes (553558-043, Black/Summit White)",,,False,New,New,553558-043,553558-043,553558-043,,5,Vanjo Market,https://www.amazon.com/BLACK-SUMMIT-WHITE-Air-Jordan/dp/B0DRWGN46P/ref=sr_1_207?dib=eyJ2IjoiMSJ9.i7HaEVFNuHqCJzXvyQYFTFioh2nX0jbaO1HRttP-2SsaPFw3D6vcxUi6FpaEFxXUNLkcD-CVijWeO-Dt2W1DPKKoyeRnOEQE5mFDtynTxphVC6BLcxcniXdCD_HFzrVV8f5BmSVXdO2PArm77M8dvN55btT8eZlRT-bc1p3KVxYidybBLSD0QU39mS9M3tQ6lBFj8kh3gd2mVUu37_SYCtV94I05k66enBz4JgP05SHk99udWSSFkm3bnwntZACZHxzOBF6YSmtI7GyshEhzd_t45ZENcBrUJsjJNLCMEFQ.epCcpN6qvvZhFGxb7sYnALO7jPccX54VNuo9bdPuoOY&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769197495&sr=8-207&xpid=1s_YYW3qmJhf2,B0DRWGN46P,9.5,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,NIKE Shoes Air Jordan 1 Low Code 553558-044 Grey Man,NIKE Shoes Air Jordan 1 Low Code 553558-044 Grey Man,,,False,New,New,553558-044,553558-044,553558-044,,5,east fashion inc,https://www.amazon.com/dp/B0FHJBJBHZ,B0FHJBJBHZ,7,mens,1,10,False
amazon,Jordan sneakers,Sneakers,Jordan,Air Jordan 1,"Air Jordan 1 Low Men's Shoes (553558-067, Black/Summit White/Varsity Red) Size 8","Air Jordan 1 Low Men's Shoes (553558-067, Black/Summit White/Varsity Red) Size 8",,,False,New,New,553558-067,553558-067,553558-067,,3.3,DCZAPATOS,https://www.amazon.com/Jordan-Shoes-553558-067-Summit-Varsity/dp/B0DS6KJHMB/ref=sr_1_214?dib=eyJ2IjoiMSJ9.ALoj3V4cVWgu6jkNOI9igMdO7dbpTJ5NELnNcDQnkFMkLbOkF-zdKLQV875IbyNcifYm_a--A_NIRWpAatlHUoPsjSTxMVfirEL4CvYlYcXAvcmWCTtlGtXtVr6p9P5wOfOzlYEng3hnlqFk2sw0Hnu1xsGWArNj52ZmIxRKVKC9M3L36N2xRg0JYkl11IsVpmMEgHKyl09xm3fCHdcqM-mGjGhQ1xqLrhOdD9Pl6b3hy3_Ibeg2uYoPSCNju6gAvpINWni7LiallJpw13yhiF3g8J-_oe2hoA0t3zxem2w.5LahkioZP78z0T0eq-NI7o8_4s_-4wo1vkNt9GShqgU&dib_tag=se&keywords=Jordan+sneakers&qid=1769198164&sr=8-214&xpid=nXjk8ayRGkN3X,B0DS6KJHMB,,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),,,False,New,New,553558-081,553558-081,553558-081,,4.3,All The Skus,https://www.amazon.com/dp/B0FHC3YB5X,B0FHC3YB5X,7,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),,,False,New,New,553558-081,553558-081,553558-081,,4.3,RETIAL SHOP,https://www.amazon.com/dp/B0FHC1938V,B0FHC1938V,11.5,mens,1,10,False
amazon,Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),,,False,New,New,553558-081,553558-081,553558-081,,4.3,Time for Deals,https://www.amazon.com/dp/B0FHC3LSXX,B0FHC3LSXX,10,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Nike Men's Air Jordan 1 Low Code Shoes,Nike Men's Air Jordan 1 Low Code Shoes,,,False,New,New,553558-146,553558-146,553558-146,,4.4,LS Outfitters,https://www.amazon.com/Jordan-553558-146-Neutral-Medium-Midnight/dp/B0DYZ1Q4TZ/ref=sr_1_41?dib=eyJ2IjoiMSJ9.AAG3QOf9KO899qWu2kfJAz71d4P7IwNmBLKH2rm7Pctsv_mA_hEIphdPyEFNpoTN5VdfQosIgGg2ZNLqReHzSDpCG7qPaH8iSAaWKpmuVIz7XfGrCo3EVBMFVePEa-16IbEj1YTqeKOGyQvko4rKK1wpH0p1wQYESlJDFgQopd_VwRxDRvfUwz1rX3Tqpwt6kkgRE6Q9IZvlXspdKfIGRPUDkidtFt2Xgf6akfRJrXaiWwrB_MJ6U-5ysX0HTYstv-d4tWbdNf1YjE9i5WyIqkW2TSf9gstYm0WOYbqwob4.uZRHunJCcO5sUwnfZqKb1uoTdCZ8-QLziQIxX88Zzy8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597636&sr=8-41,B0DYZ1Q4TZ,8,mens,1,10,False
amazon,Jordan sneakers,Sneakers,Jordan,Air Jordan 1,Men's Jordan 1 Low White/Midnight Navy (553558 146) - 9,Men's Jordan 1 Low White/Midnight Navy (553558 146) - 9,,,False,New,New,553558-146,553558-146,553558-146,,4.6,4EightyEast Distribution,https://www.amazon.com/Mens-Jordan-White-Midnight-553558/dp/B0DYYZY6SN/ref=sr_1_131?dib=eyJ2IjoiMSJ9.nNqhO0JBry4eBiK0qFvhe60K3XeDJYDgs2IQzFpG3m86H0h9Lc6kd_Iou1o7Cvuny4qlbOdFrZml7QSPPuLPk6yddAoBaifU_j1YhJJOZTX65I9sBRDpIsjT3CSpX5W2rclUCQvvgAKwbIj0DqJFzaPSDHwbgdHaUv5LT8VcqxSszR1YhFOeraqscbE9SMLmGoo362pOOXQjgoOKMgBSOFPCEH69RFRGl9MQGhirUpECIgQug-1JO5fc-fnYcGnOZus6rFj-0x_snPeyAeIg4NIz6AFZQ2DYZMC0hffInHk.EqzhQFzmJA2T2u_D_0gmF6AlwY-_vcIGYVZOveNx4qg&dib_tag=se&keywords=Jordan+sneakers&qid=1769598870&sr=8-131&xpid=7IryzEdmOwZYj,B0DYYZY6SN,,mens,1,10,False
